name,reviews.text
"The Alexandrian, Autograph Collection","The room was very nice and clean. The hotel was uniquely decorated and stylish. The location was nice if you plan to go out in old town, but a good 20+ minute walk to public transportation and a hike to get into DC."
"The Alexandrian, Autograph Collection","The hotel exceeded our expectations. Our room and the hotel was well kept, clean and the decor tasteful.The 5 p.m. manager hosted wine tasting is an excellent way to return to the hotel after a nice day out to see the sites and touring. It was also a great ice breaker to meet other guests (or not).To top it off this particular property is perfectly located on King Street in historic Alexandria surrounded by shops and excellent choices of restaurants.We will definitely stay here again and will recommend to friends."
"The Alexandrian, Autograph Collection","from check in to check out the staff goes out of its way to insure that your stay is problem free. Beautiful rooms, excellent staff, great location. We go to Alexandria 2-3 times a year to enjoy the history and would not think of staying elsewhere. It is located right in the heart of Old Alexandria and within walking distance of everything."
"The Alexandrian, Autograph Collection",Lovely. Stayed there for the Inauguration and the staff was on top of their game. Very attentive despite a packed house and also lots of sweet touches like shuttles to the metro on inauguration day etc.Went on to stay at the Monaco in Chicago and was so disappointed by the service after a wonderful stay at the Monaco in Alexandria.
"The Alexandrian, Autograph Collection","The hotel is right in the heart of Old Town Alexandria on King Street. Shops, bakeries and wonderful restaurants lined the street. The 1 mile walk to the Metro gave us plenty of opportunities to window shop. The staff was great. Our room was a little on the small side, but for 2 nights we were more than satisfied. Highly recommended."
"The Alexandrian, Autograph Collection","The hotel is right in the heart of Old Town Alexandria on King Street. Shops, bakeries and wonderful restaurants lined the street. The 1 mile walk to the Metro gave us plenty of opportunities to window shop. The staff was great. Our room was a little on the small side, but for 2 nights we were more than satisfied. Highly recommended."
"The Alexandrian, Autograph Collection","My daughter and I had our first get-away alone since she started her family. We live in Baltimore so the journey was short.  I love this hotel and its lovely staff, great wine reception, dog-friendliness.  We enjoyed the large pool and sat in front of the reception fire place to warm up and meet interesting guests."
"The Alexandrian, Autograph Collection","great hotel, great location, excellent room...thermometor in room did not register correct temperature, too hot to sleep, the hallway was colder than our room.We had it set on the lowest setting it would go.Also, the key card would not work the first time, and as petty as it sounds, I had to walk all the way back downstairs, wait in line and then hope the key would work when I went back upstairs.In this day and age, all hotels should have free internet, at least in the lobby.Looked clean, but I dropped an ear ring back close to the edge of the bed, when I picked it up, there were ""things"" clinging to it, needed better vacuuming?"
"The Alexandrian, Autograph Collection","We chose this hotel because Kimpton's have a great reputation and they are pet friendly. Upon arrival (around 9pm) we were disappointed that there was no door staff/valet etc so we ended up taking in the luggage ourselves. When the bellman did see me they didn't offer to help. Check-in was quick and front desk girl was very friendly, greeted Dori by name and offered her a pet package. The room was large and comfortable but there were some areas where you can see the hotel is showing some wear and tear. Overall still very good. All the amenities of a Kimpton including 4pm Kids Hour, 5pm wine hour and most importantly for us Pet Friendly. The hotel was very busy as it was Memorial Day weekend so the restaurant and room service had delays but that's to be expected. I would choose this hotel again especially for the proximity of being in the middle of Old Town, several blocks from the water front and in the midst of amazing restaurants like Restaurant Eve."
"The Alexandrian, Autograph Collection","Very friendly staff; good location. Child and pet friendly. Great swimming pool. Nice, interesting decor; clean. Overall, a very good hotel."
"The Alexandrian, Autograph Collection","The room was clean and very nice. The bed and pillows were perfect. The only issue was checkout...they overcharged me for parking. It wasn't listed on final receipt and I would've never known if I didn't check my credit card statement (this wasn't the credit card holding charge). Quickly resolved, but still a hassle and the reason for less than 5 stars"
"The Alexandrian, Autograph Collection",Excellent location and friendly staff. We loved the free wine and snacks from 5-6 nightly
"The Alexandrian, Autograph Collection",My only real complaint is why pay for parking & 2 use the internet ON YOUR OWN CELL? Shouldn't that be on the hotel? Just a thought
"The Alexandrian, Autograph Collection",Great value for the money. Convenient location in Old Town close to many fun things.
"The Alexandrian, Autograph Collection",Great value for the money. Convenient location in Old Town close to many fun things.
"The Alexandrian, Autograph Collection","We arrived late and the hotel staff couldn't have been nicer or more efficient.  We were settled in our room in less than 10 minutes.  When I couldn't connect to wifi, a call to the front desk resulted in a knock on our door within two minutes.  I had some special needs, and the staff did an excellent job of meeting them.  The hotel is perfect for a stay in Alexandria."
"The Alexandrian, Autograph Collection",overall...great hotel!
"The Alexandrian, Autograph Collection","Had an amazing stay. Clean hotel, very friendly staff!!!"
"The Alexandrian, Autograph Collection","I was expecting a typical Kimpton stay - wine and hors d'oeurves at 5 pm in the ""living room"", but found out when we got there they didn't do that because of some ABC laws in Alexandria - though the Embassy Suites does offer it. Room service breakfast was quite expensive... On the flip side - the location cannot be beat - right on the free trolley route and close to all Old Town Alexandria awesomeness!!!"
"The Alexandrian, Autograph Collection",Great!!
"The Alexandrian, Autograph Collection",A wonderful 2 night stay in Hotel Monaco Alexandria. Room was decorated beautifully. Bathroom was luxurious with all the amenties. Bed was wonderful and comfortable. Hotel was right in the heart of Old Town with no reason to move/use the car. Staff was always great. I particularly liked that the staff at the door ALWAYS welcomed me back or wished me a nice day. And that staff in other locations always made eye contact/smiled/had a positive comment.Only tiny negative was finding a previous patron's leftovers in the mini fridge.
"The Alexandrian, Autograph Collection","I booked through this third-party site, paid extra for a room with a balcony & made a notation in the ""notes"" section that we'd like a roll-away bed for a child if it was available (the website said they were available on a first-come basis). When I arrived, without warning, the bellhop led us to a standard double room (the cheapest type, with no balcony). I explained to him that we'd reserved a room w/ a balcony, he called the front desk and they told him none was available. He handed the phone to me & I asked the girl on the other end if I could speak to a manager. He was rude, did not apologize for the situation, & flatly told me that because I had booked through a certain third-party reservation site, there was nothing he could do about the error. He eventually clarified that since I had booked a room with one bed (albeit a King), but had asked for a second bed, they simply changed the reservation to a double room. He said there was no way to notify me of this, because the third-party reservation company does not supply the names or phone numbers of people who make reservations. He had no explanation for how the hotel front-desk staff had been able to match my name & ID to a reservation. Anyway, he refused to refund the difference in the price of the room. He offered to put us in a room with a balcony the next day. He told me to start calling them the next day at about noon to see if one would be available. One eventually did come available the next day at 5 p.m. & we took it. It was too dark to even see the balcony (half the point of a balcony room was to have the extra sunlight). I complained about it long enough that an hour later, someone showed up with a free bottle of wine & an apology letter for the ""miscommunication"", but there was never a refund of the difference in the price of the rooms, & the bad customer service made the trip a little worse than it needed to be.Our first room on the 6th (top) floor had too little water pressure to take a good shower. Other than that, the hotel itself was perfectly nice. Hopefully the manager moves on. I may try it again next time I'm in the area, but I would not recommend booking this hotel through a discount hotel website."
"The Alexandrian, Autograph Collection",Nice hotel in a beautiful area of Washington. Room needs a bit of a refurbishment (e.g. heating unit made an terribly loud noise as it shut on and off during the night) and the gym needs upgrading.
"The Alexandrian, Autograph Collection",Thoroughly enjoyed our stay. Loved early evening wine in the lobby and it was great fun that the hotel is dog friendly even though we didn't have a dog with us.
"The Alexandrian, Autograph Collection",The hotel was in a great location. The rooms were beautiful and very clean. The customer service was outstanding!!! It was nice to be greeted by name without them having to look at my credit card first!
"The Alexandrian, Autograph Collection","We had a great night at the Monaco.  I have stayed at both this one and the one in downtown DC.  Love them both.  Great people, management, and hotel.  We will be back."
"The Alexandrian, Autograph Collection",We had a wonderful stay. Rooms are large and very clean. All of the staff were super friendly and extremely helpful in all regards.
"The Alexandrian, Autograph Collection",This hotel is well located in a very attractice and historical site. Rooms are kind of small but comfortable. Service is excellent and staff very friendly.The restaurant has an excellent menu and seems to be popular among locals.
"The Alexandrian, Autograph Collection","The stay was good, price of the room was too expensive for the hotel. I have stayed in others in the area for less than half the price, that had more services and free parking. Don't think I will recommend or stay there again."
"The Alexandrian, Autograph Collection","This hotel used to be a Holiday Inn -- the hotel is limited by that configuration.  Monaco has tried to make it a boutique hotel and have done a pretty good job, but it is not a four star hotel.  I would give it three stars.  Other than that, they try hard, did a good job, and we were quite satisfied with staff, location, and cleanliness."
"The Alexandrian, Autograph Collection","The staff were attentive, but the cleaning staff were a touch impolite at times.The restaurant served decent breakfast. Parking was quite expensive, at $27 a day."
"The Alexandrian, Autograph Collection","The staff were attentive, but the cleaning staff were a touch impolite at times.The restaurant served decent breakfast. Parking was quite expensive, at $27 a day."
"The Alexandrian, Autograph Collection","King St is amazing. My wife called it a clean Bourbon Street. I agree. It is not as raucous (good thing) and there are tons of restaurants and shops within walking distance. Also, the whole Old Towne Alexandria is very inviting."
"The Alexandrian, Autograph Collection",We only stayed one night but it was wonderful. Staff was very friendly and accommodating. Room was clean beautiful comfortable we felt as though we were at home. Location is very nice nice to walk around with the shops close to the water. We would stay here again in a heartbeat.
"The Alexandrian, Autograph Collection","Beautiful Hotel - cozy room, nicely appointed and clean. Love the wine happy hour! Great location and friendly staff. Will definitely stay there again."
"The Alexandrian, Autograph Collection","Great neighborhood, but older hotel."
"The Alexandrian, Autograph Collection","When we go back to DC we usually stay at the Monaco because of its location.  If my husband has to take the car for a meeting, I can walk to the shops and restaurants and I feel completely comfortable there.  When we are together, it's convenient to everything we need to get to, our old neighborhood, good restaurants and the major highways.This past weekend, there were a lot of little kids and dogs, I guess because it was a holiday weekend.  We heard dogs barking and kids crying, didn't bother us too much since it was during the day, if it disturbed our sleep this review might have had a different ending."
"The Alexandrian, Autograph Collection",One word: excellent
"The Alexandrian, Autograph Collection","This hotel is located in Old Town, Alexandria, VA. It is a renovated older hotel but the rooms were quite nice with marble sink and tile in the bath and nicely done d��cor. The hotel offers free shuttle service from Reagan International, but it only runs every hour. However, if you call the hotel they will let you know where and when to meet the shuttle. They offer complementary coffee and tea each morning and a wine bar each evening although we did not use the latter. There are many restaurants near the hotel including a very nice French caf�� next door. If you are a Kimpton rewards member, you can even receive a coupon good for $10 worth of items from the mini-bar in your room. The only negative was that the hotel is about a mile from the King St. Metro stop which provides the quickest and least expensive access to Washington, D.C.All things considered we would definitely consider staying there again during future visits."
"The Alexandrian, Autograph Collection","The staff was friendly and helpful and the room was very comfortable, clean and quiet. The location was convenient to basically everything (food, shopping, entertainment, transportation) in Alexandria."
"The Alexandrian, Autograph Collection","the hotel was a great location, walking distance to so much.  Staff was very helpful."
"The Alexandrian, Autograph Collection",Have stayed at this hotel many times and the staff is personable & committed to excellence. Kimpton's ability to identify quality individuals from diverse backgrounds and then have a top notch traing program is reflected in each stay.
"The Alexandrian, Autograph Collection","This hotel has a nice charm; not your cookie cutter luxury hotel. The staff was nice, the location in old town is perfect."
"The Alexandrian, Autograph Collection","All shopping and restaurants are short walks from the hotel.  The best location of any hotel in Alexandria.  The staff was most accommodating.  One day, my wife and I decided to go for a walk along King Street.  A member of the hotel staff ran to us with an umbrella in hand.  He suggested we talk it in the event of rain.  We look forward to a return visit to the Hotel Monaco in the near future."
"The Alexandrian, Autograph Collection",We had a fantastic time and highly recommend this hotel for families. The pool was fab and so was the happy hour for kids and adults.
"The Alexandrian, Autograph Collection",Did recon for our wedding next year. Will definitely have our guests stay here.
"The Alexandrian, Autograph Collection","This hotel is located ideally right in the heart of Old Town Alexandria, VA.  It made it the perfect place to stay and see the sights.  We loved the quaint surroundings and the hotel staff and check-in process couldn't be more pleasant and efficient.  We would whole-heartedly recommend this hotel to anyone who is visiting Alexandria or the Wash. DC area."
"The Alexandrian, Autograph Collection","A complimentary bottle of water and maybe a small coffee maker in the room would be nice.Overall, I was very pleased."
"The Alexandrian, Autograph Collection","After reading about the Hotel Monaco online, I changed my reservation at the Marriott, and I was very glad that I did. You would expect to pay a lot more for this hotel that what our room rate was. The Kimpton hotels are so cool - loved the room decorations, efficient bathroom, comfy beds and lively lobby. Being a pet friendly hotel, it didn't smell. The outside furniture in the courtyard area was so relaxing at night. The menu for dinner was a bit different than what we expected and I would not eat there again. I loved this hotel and would stay there again when I go to Old Town to visit my son and his fiance."
"The Alexandrian, Autograph Collection","We couldn't have been happier with our stay. The staff was uniformly friendly and kind, the room was great (a bit more creatively decorated than your typical hotel), and you just can't beat the location. We were just a few blocks from just about everything we wanted to do. (Oh... and they have an indoor pool that we got a *lot* of use out of.)I wasn't expecting anything other than another cookie-cutter hotel, and I was really surprised at how wrong I was."
"The Alexandrian, Autograph Collection","This was a fun, chic hotel in the perfect location for a night out on the Old Town."
"The Alexandrian, Autograph Collection","The Monaco is very well situated, near the King Street shops and the waterfront. That is its best asset. Also, particularly good is the service. The staff are welcoming and always helpful. Otherwise, the hotel is standard for a premium hotel. The closets are a little cramped, but the windows open and the room temperature is well controlled. I have a personal dislike of duvets, but the hotel furnished the proper blanket."
"The Alexandrian, Autograph Collection",Great hotel in great location but expensive rooms and parking. Could have stayed a few blocks west on King street for $100 less a night had I known that bus service on King street is free and frequent. The two beds in our room where very narrow for two and who wants to sleep in separate beds?
"The Alexandrian, Autograph Collection","if you drive a car, then you shuld feel comportable and meet nice front desk. Most of all, my family colud have good sleep on the very nice bed and bedclothes. Near from the hotel, very good restaurants are there. Don't worry about your breakfast and dinner with walking."
"The Alexandrian, Autograph Collection","Great place to stay, super price for the service. Attitude of hotel staff made the stay the best We've had in a long time. Looking foward to next visit to DC"
"The Alexandrian, Autograph Collection","Great place to stay, super price for the service. Attitude of hotel staff made the stay the best We've had in a long time. Looking foward to next visit to DC"
"The Alexandrian, Autograph Collection",The staff is top notch. There is a big difference in the size of the rooms (same price) The rooms that face King Street are much larger then the interior rooms. It's a shame that there isn't any outdoor patio furniture
"The Alexandrian, Autograph Collection","Alexandria on yksi niistä harvinaisista USAn kaupungeista, joissa väki kulkee kadulla. Kaupunki on eräänlainen vanhan ajan elävä museo, pikku putiikkeja ja ravintoloita pääkadulla. Samalla kadulla on tämä Hotelli Monaco, joka on hyvin persoonallinen ja viehättävä. Saimme ullakkokerroksen tilavan huoneen ja viihdyimme hyvin."
"The Alexandrian, Autograph Collection",Overall we were pleased with our stay. The only downfall was that we had asked to be notified once our room was ready we had arrived about an hour before check in. When we contacted hotel staff around 45 minutes after allowed check in time we were told our room had been ready. Very frustrating on a cold rainy day when we just wanted to get settled.
"The Alexandrian, Autograph Collection",This was a perfect base camp for touring DC. The metro station was within walking distance and a trolley was also available for getting to and from the metro. On the way to the metro station are lots of unique shops and restaurants. The area was totally safe for walking. The hotel is very close to the waterfront and the Torpedo Factory Art Center and the street entertainment in that area. Located on King Street this is a beautiful area to come back to after the bustle of DC. I hope to return again next year and will definitely stay in this hotel. Wish we had had more time. Highly recommend this beautiful hotel.
"The Alexandrian, Autograph Collection","The hotel had great service. The bathroom was newly remodeled, so was absolutely beautiful. The best part was the location - conveniently located to great restaurants, bakeries, metro, and the river."
"The Alexandrian, Autograph Collection","I stayed here a month ago, liked it so much that we returned here on our most recent trip. I didn't mention the daily wine reception with interesting wines in my last review. It is a nice event at 5pm daily in the lobby. Creatively decorated rooms with a good bed for a restful nights sleep, great location for old town Alexandria."
"The Alexandrian, Autograph Collection","Excellent service throughout the hotel including the front desk, room service, Jackson 20, bell service. The sleeping rooms are enchanting and relatively large. Close to great shopping and restaurants and nightlife."
"The Alexandrian, Autograph Collection","The room was very elegant and cozy. We enjoyed our room decor quite a lot ! Parking was an unexpected difficulty, and frankly started our visit off in an unhappy way. We couldn't even pull up to the hotel in our car due to its position in the street. There is a tiny amount of space for cars to pull into the valet area in the front of the hotel. Once that area is filled with 2-3 cars, there is no where to even pull your vehicle to check in and unload the car. You end up in some garage down the street. Also, the front desk was not helpful when they kept repeating in half broken English, ""the valet will help you, the valet will take care of you""-- yeah, maybe if WE COULD GET OUR CAR ANYWHERE NEAR THEM!However, once we finally got to out room, it was lovely. The rest of the staff was very courteous. I didn't appreciate the attitude if the woman at the front desk, but I still enjoyed my stay."
"The Alexandrian, Autograph Collection","My husband and I stayed here at a friends recommendation and loved every minute of it. The hotel is excellent and in a great location. Plenty of places to eat and shop close by. The only negative I have to say is the free trolley is not a reliable form of transportation. We walked to the King Street Metro station (14 blocks away) more than we road the trolley, but the walk was beautiful and peaceful. Everyone around was super friendly. We are already talking about going back soon!!"
"The Alexandrian, Autograph Collection",The room was so nice and comfortable.  Just a fabulous hotel.  Food was fantastic in the restaurant.  Close to everything I wanted and a great price too.
"The Alexandrian, Autograph Collection","You can't beat the location. Old Town Alexandria is charming, and the hotel is right in the middle of it. There are plenty of restaurants within walking distance of the hotel. The restaurant next to the hotel is a bit spendy, but pretty good. The room itself was a bit small, and I would have liked a lock on the bathroom door, but the beds and pillows were comfy, and the TV service adequate. Going into downtown D.C. was ~50 minutes door-to-door (to White House) by metro. I feel the hotel should offer a shuttle to the metro. We had to taxi, since the King street trolley only runs from 11AM - 7PM--walking to the metro, while doable at 20m, would have made for a tiring day touring D.C. The parking garage is old and space is tight, so a couple nights we had to pay to park elsewhere, but its workable. Most staff were nice, but a few times the staff were slightly less than helpful: room service comes too late in the day, and kept harassing us even though our child was napping and we asked them to come back later. One day while it was pouring rain outside, we tried to borrow an extra umbrella from the doorman (we're a family of 4 with 2 young kids), and were rebuffed [??]. But, the kids hour and wine hour are great, and the hotel is fun. Bottom line, the location is great, and the charm of the hotel and the surrounding area make some of the small inconveniences insignificant."
"The Alexandrian, Autograph Collection","I thoroughly enjoyed my stay here. It was just for one night, and there was nothing negative. The location, staff, room - everything was just fine. My friends and I enjoyed happy hour in the lobby and an excellent dinner in the hotel's restaurant."
"The Alexandrian, Autograph Collection",This hotel was just charming. The decor was modern and eclectic and somewhat whimsical. Everything was spotlessly clean. The bed was comfortable and the linens luxurious. I would recommend this to anyone.
"The Alexandrian, Autograph Collection","This is a very nice, comfortable hotel. The service is excellent and all the staff were very friendly and helpful. Nice location in old town Alexandria about a mile from the King St. Metro station (shuttles to and from the hotel available by simply calling the concierge).We highly recommend this to anyone."
"The Alexandrian, Autograph Collection",Great stay. Perfect location in the heart of Old Town. We upgraded to the small suite with balcony. Totally worth it!
"The Alexandrian, Autograph Collection",We thoroughly enjoyed our stay.
"The Alexandrian, Autograph Collection",We really liked this hotel. It was relaxing and we enjoyed our stay.
"The Alexandrian, Autograph Collection",Wonderful as always!
"The Alexandrian, Autograph Collection","We couldn't have chosen a better hotel.  It's within walking distance of everything, the staff was very attentive and the rooms had a very nice charm to them. The only (small) issue we had is that AC unit was a bit loud - but since we are getting to the warmer days, it is expected that the unit needs to work hard to keep the room at a certain temperature. We thought it was really convenient that they provided little items that are easily forgotten: toothbrush/paste, phone charger, etc - upon request."
"The Alexandrian, Autograph Collection","Wasn't informed of $27 parking fee at time of booking, found out about that at check in. Room seemed closed in and dark, needs updating. Shower curtain was dirty, looked like someone blew their nose on it. Stained throw pillow and towel. Mattress was horribly uncomfortable, both myself and my wife spent a restless night. Forget the gym, the weight set is too complicated for a good workout and of the 5 pieces of cardio equipment, 1 functioned properly. The overall area had little to offer, unless you are into art. Homeless people were sleeping in doorways 30 feet from the doors of the hotel in the morning. Would not recommend this hotel to anyone. Wish we hadn't wasted our time and money on this hotel. When we informed the staff of the condition of our room, we were met with an oh. Thanks for nothing."
"The Alexandrian, Autograph Collection","This hotel is perfectly situated in Old Town Alexandria, VA   It is in the heart of town next to many restaurants and historic places.  With a rollaway bed and two double beds, my sons and a friend were easily accommodated in one room.  Always a pleasure to be at this site.  Some very small updates in the room do need to be done."
"The Alexandrian, Autograph Collection",Everyone was very helpful. I had an excellent experience and stay.
"The Alexandrian, Autograph Collection",Nicely renovated
"The Alexandrian, Autograph Collection","As a business traveler, I absolutely love staying at this hotel. Not only are the rooms comfortable and tastefully decorated, but the service is fantastic. The lobby is the ""place to be,"" with plenty of action, wine hour, and coffee/tea in the mornings. The location is perfect for me as well, with an unending supply of great restaurants and bars within walking distance. I also like the small touches in the room, like a hair dryer, extra space, and robes."
"The Alexandrian, Autograph Collection","We drove into town for the Cherry Blossoms Festival in D.C., but didn't want to stay in $300+ hotels in the city...that's where Monaco provided the much needed relaxing atmosphere for this one-night stay and all the amenities and comfort that one might need. Awesome shower and comfy bed (two of my critical features), as well as location in the middle of Alexandria's shopping & restaurant district made this stay very memorable. Helpful staff at the front desk was a pleasant bonus, as well."
"The Alexandrian, Autograph Collection",Parking is cheaper across the street.
"The Alexandrian, Autograph Collection","O hotel é belíssimo, assim como os quartos, os quais são enormes e bastante confortáveis.A localização é excelente; o hotel fica na rua principal de Alexandria.Há transfer gratuito aeroporto-hotel e vice versa.Só ha internet free no lobby do hotel e o acesso ao computador e impressora é pago, o que acho um inconveniente.Tivemos alguns probleminhas com o serviço do hotel, os quais demonstraram a falta de preparo dos funcionários.Nos disseram que uma encomenda da Amazon não tinha chegado, quando na verdade já tinha sido entregue ha mais de 5 dias.Uma meia sumiu do banheiro e não nos deram qualquer satisfação, nem se mostraram preocupados com o ocorrido. Fomos embora sem que nada fosse resolvido.Tivemos indisposição após um jantar no restaurante do hotel.Por essas razões, a estadia acabou não sendo satisfatória."
"The Alexandrian, Autograph Collection",Very relaxing  and close to restaurants and the waterfront.  Easy access to the water taxi to DC
"The Alexandrian, Autograph Collection",We were pleasantly surprised by the decor and size of our room. We stayed in a double bed guestroom and had plenty of space. The bathroom was spacious and very clean. The pool area had plenty of windows that opened up and the fresh air was nice. I would highly recommend this hotel to couples and families.
"The Alexandrian, Autograph Collection","Staying in Old Town Alexandria was great--the area has so much to offer in terms of restaurants, unique shopping, and historic character. I was there for a whole week, so had lots of opportunity to interact with staff when coming and going--especially since I had a car in valet parking. They were extremely friendly and personable, addressing me by name after the first day there. The atmosphere of the hotel was very inviting. The restaurant was also good--although the quantities were huge, so I found myself leaving food on the plate. The room would be better if it had an arm chair or someplace else to sit--there was an odd large ottoman, but it was not a good place to watch TV from or read. Other than that, everything was very nice."
"The Alexandrian, Autograph Collection","From the time we walked into the hotel until we left with our bags after check out, the staff at this location was nothing less than fantastic! They made us feel important and addressed any concern we had with immediate attention. I was filling out a survey about the hotel, and left a less than satisfied mark on the questionnaire. Within 5 minutes, I received a call from the front desk and an email. My problem? We were 20 mins away from where our plans were. Even though it had nothing to do with them, this hotel was all about making our visit enjoyable. Kudos to the front desk, cleaning staff, and everyone else that works at this place!"
"The Alexandrian, Autograph Collection",Lovely boutique hotel that is located in heart of old Alexandria.  Good for children and adults with quick foods close by and coffee in lobby.  Wonderfully located and personnel were delightful and helpful.
"The Alexandrian, Autograph Collection","My wife and I stayed here for a weekend get away. The hotel is awesome! Great staff, really cool vibe and great location. The hotel is pet friendly so we saw some pretty cool dogs and surprisingly we didn't hear any barking at night ( I was a little concerned about that). There's so much to see and do within walking distance. We valeted our car for $25 and walked everywhere. So overall it's a great place to stay. A few little critiques: 1. Some of the fixtures in our room we loose or broken. 2. The fridge is locked and you have to ask for the key. Kinda odd. It's stocked full of wine, beer and liquor, plus some snacks and even socks! BUT there's no room to put anything of your own in there ( I know, I know, it's wet bar, but one shelf would be great). We didn't buy anything, but everything is reasonably priced. - So the bottom line is, we will be back!"
"The Alexandrian, Autograph Collection","This is a prime example of how great the unpublished rates can be! Plush, spacious room with luxury amenities such as marble bathrooms, a big deep bathtub, overstuffed chaise lounge chairs, dreamlike bedding, beautiful decor. Rooms like these truly make leaving home and sleeping elsewhere a treat that one can look forward to."
"The Alexandrian, Autograph Collection","Located on King St., shopping and all amenities available. Comfortable and beautiful accommodations with a very friendly staff.  Whenever I need to be in DC, I choose to stay in this hotel and I look forward to returning.  King Street has restaurants and shops, CVS and Dunkin Donuts...the trolley is available to go to the waterfront and it is just beautiful. Upon arrival, I was greeted by a very sweet and professional check-in staff member and given a token for a beverage because I had just missed cocktail hour.  How nice.  Thank you again."
"The Alexandrian, Autograph Collection",The staff was tremendous at the Monaco Hotel in Alexandria. From the front desk to the doormen to the hotel shuttle driver - they could not have been friendlier or more helpful. We enjoyed Alexandria as well - a truly delightful town with great shops and eateries.
"The Alexandrian, Autograph Collection","We visited Alexandria, VA over the 4th of July weekend. We had a great time, the town was very nice. The shops and restaurants we visited were very good. We enjoyed the marina and enjoyed the fireworks from there. We also enjoyed visiting the George Washington Masonic Temple - great for all you Dan Brown enthusiasts! We stayed at the Klimpton Hotel (the location was perfect); however, the room we stayed in was extremely hot - the ac was barely working. On the bright side - the room was beautifully decorated."
"The Alexandrian, Autograph Collection","We loved the hotel, and the neighborhood shopping and restaurants couldn't be beat! Can't wait to stay there again."
"The Alexandrian, Autograph Collection","if you drive a car, then you shuld feel comportable and meet nice front desk. Most of all, my family colud have good sleep on the very nice bed and bedclothes. Near from the hotel, very good restaurants are there. Don't worry about your breakfast and dinner with walking."
"The Alexandrian, Autograph Collection","My wife and I stayed a week with our Granddaughter, to show her the nations capital. We were very happy with this hotel. The staff was friendly and helpful. They went out of their way to be friendly to Haley, especially the Doorman. She is 10 years old and loved it. The hotel was in beautiful condition. One exception, a small piece of marble was missing in one corner of the bathroom floor. Hardly noticeable but, I noticed. The pool was great and had a lifeguard, awfully nice when traveling with a child. I missed having a spa but the work-out room was nice. Doggy Happy Hour in the courtyard (yes lots of real dogs) was a hoot. I would definitely use this hotel again. Both comfortable and convenient."
"The Alexandrian, Autograph Collection","This was my first visit to this hotel on a recommendation - loved it. Beautiful room: comfy bed, great amenities, very helpful and nice staff. Not too far from the metro (a little bit of a walk, but not too bad). Wonderful little shops surrounding it. Only thing missing was a continental breakfast in the morning, but there are plenty of little cafes surrounding to make up for that!"
"The Alexandrian, Autograph Collection",the staff was great. it was refreshing to stay in a swanky/modern style hotel as opposed to the more traditional looks of the others. we will definately go back!
"The Alexandrian, Autograph Collection",It was excellent. Staff courteous and helpful. Afternoon wine was a party.
